song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Mr. Roboto,Styx,3,3,18,18
Der Kommissar,After The Fire,5,5,21,21
Something To Grab For,Ric Ocasek,47,47,9,9
Bread And Butter,Robert John,68,68,4,4
I Don't Care Anymore,Phil Collins,39,39,11,11
The Fanatic,Felony,42,42,12,12
Whirly Girl,Oxo,28,28,14,14
She Blinded Me With Science,Thomas Dolby,5,5,22,22
What Love Is,Marty Balin,63,63,6,6
Should I Stay Or Should I Go?,The Clash,45,50,23,10
Change Of Heart,Tom Petty And The Heartbreakers,21,21,11,11
Take The Short Way Home,Dionne Warwick,41,41,13,13
Little Red Corvette,Prince,6,6,22,22
Land Of A Thousand Dances,The J. Geils Band,60,60,6,6
Beat It,Michael Jackson,1,1,25,25
Some Kind Of Friend,Barry Manilow,26,26,16,16
Shoppin' From A To Z,Toni Basil,77,77,4,4
Please Mr. Postman,Gentle Persuasion,82,82,4,4
Only You,Yazoo,67,67,8,8
Love My Way,Psychedelic Furs,44,44,10,10
Swingin',John Anderson,43,43,13,13
Sex (I'm A...),Berlin,62,62,7,7
Minimum Love,Mac McAnally,41,41,12,12
Escalator Of Life,Robert Hazard,58,58,9,9
Keep It Tight,Single Bullet Theory,78,78,4,4
You Are In My System,The System,64,64,8,8
Welcome To Heartlight,Kenny Loggins,24,24,14,14
I Won't Hold You Back,Toto,10,10,17,17
Even Now,Bob Seger & The Silver Bullet Band,12,12,12,12
Outstanding,The Gap Band,51,51,8,8
Let Me Go,Heaven 17,74,74,5,5
Straight From The Heart,Bryan Adams,10,10,19,19
Walking In L.a.,Missing Persons,70,70,6,6
Always Something There To Remind Me,Naked Eyes,8,8,22,22
Desperate But Not Serious,Adam Ant,66,66,8,8
Photograph,Def Leppard,12,12,17,17
Smiling Islands,Robbie Patton,52,52,12,12
Solitaire,Laura Branigan,7,7,17,17
Goodnight Saigon,Billy Joel,56,56,7,7
So Wrong,Patrick Simmons,30,30,13,13
Mornin',Jarreau,21,21,15,15
Carrie's Gone,LeRoux,81,81,4,4
American Made,The Oak Ridge Boys,72,72,5,5
Eenie Meenie,Jeffrey Osborne,76,76,5,5
Every Home Should Have One,Patti Austin,62,69,15,7
Mexican Radio,Wall Of Voodoo,58,58,9,9
Let's Dance,David Bowie,1,1,20,20
Stranger In My House,Ronnie Milsap,23,23,16,16
If You Wanna Get Back Your Lady,The Pointer Sisters,67,67,5,5
