song_name,artist,true_chart_peak,calendar_year_chart_peak,true_weeks_on_chart,calendar_year_weeks_on_chart
Killa,Cherish Featuring Yung Joc,39,39,15,15
Touch My Body,Mariah Carey,1,1,20,20
The Prayer (Live),Celine Dion & Josh Groban,70,70,1,1
You Know I'm No Good,Amy Winehouse,77,77,13,1
Love In This Club,Usher Featuring Young Jeezy,1,1,25,25
The Boss,Rick Ross Featuring T-Pain,17,17,20,20
Bleeding Love,Leona Lewis,1,1,39,39
Picture To Burn,Taylor Swift,28,28,20,20
She Got It,2 Pistols Featuring T-Pain & Tay Dizm,24,24,20,20
In Love With A Girl,Gavin DeGraw,24,24,23,23
Elevator,Flo Rida Featuring Timbaland,16,16,13,13
I Saw God Today,George Strait,33,33,20,20
Dance Like There's No Tomorrow,Paula Abdul & Randy Jackson,62,62,6,6
Shawty Get Loose,Lil Mama Featuring Chris Brown & T-Pain,10,10,12,12
Just Got Started Lovin' You,James Otto,27,27,20,20
It's Not My Time,3 Doors Down,17,17,29,29
Shake Your Pom Pom,Missy Elliott,95,95,1,1
It's Good To Be Us,Bucky Covington,81,81,8,8
Love Is A Beautiful Thing,Phil Vassar,48,48,17,17
Te Quiero,Flex,86,86,17,17
Falling Slowly,The Swell Season (Glen Hansard & Marketa Irglova),61,61,3,3
What You Got,Colby O'Donis Featuring Akon,14,14,25,25
Honey,Erykah Badu,88,88,3,3
Who The F*** Is That?,Dolla Featuring T-Pain & Tay Dizm,82,82,4,4
Love Don't Live Here,Lady Antebellum,53,53,18,18
Woman,Raheem DeVaughn,96,96,4,4
Break The Ice,Britney Spears,43,43,17,17
The Way That I Love You,Ashanti,37,37,18,18
She's A Hottie,Toby Keith,71,71,11,11
Damaged,Danity Kane,10,10,22,22
Lollipop,Lil Wayne Featuring Static Major,1,1,28,28
I'm Still A Guy,Brad Paisley,33,33,20,20
Diamond Girl,Ryan Leslie,95,95,3,3
Every Day,Rascal Flatts,45,45,17,17
Roll,Flo Rida Featuring Sean Kingston,61,61,2,2
4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,3,3,20,20
Hollywood's Not America,Ferras,62,62,10,10
Going On,Gnarls Barkley,88,88,1,1
Go On Girl,Ne-Yo,96,96,3,3
Beat It,Fall Out Boy Featuring John Mayer,19,19,7,7
Party People,Nelly Featuring Fergie,40,40,10,10
Bust It Baby Part 2,Plies Featuring Ne-Yo,7,7,22,22
Inside The Fire,Disturbed,73,73,15,15
Got Me Going,Day26,79,79,3,3
I Will Possess Your Heart,Death Cab for Cutie,70,70,12,12
Nude,Radiohead,37,37,1,1
We Weren't Crazy,Josh Gracin,82,82,10,10
Supernatural Superserious,R.E.M.,85,85,1,1
Last Name,Carrie Underwood,19,19,20,20
Shake It,Metro Station,10,10,30,30
Customer,Raheem DeVaughn,76,76,9,9
Trying To Stop Your Leaving,Dierks Bentley,73,73,15,15
Boyfriend/Girlfriend,C-Side Featuring Keyshia Cole,72,72,7,7
